normalized_part_number,models,model_count,part_number_variants,descriptions,categories,record_count,source_file
AEC-800,A-60; A-77X; A-88X,3,AEC-800,Flexible ring,Integrated Amplifier,3,parts_05.csv
AEC-818,SX-6,1,AEC-818,Insulator,Receiver,1,parts_05.csv
AEC-838,SX-4; SX-5,2,AEC-838,Foot assembly,Receiver,2,parts_05.csv
AEC-847,SA-1040; SA-1050,2,AEC-847,Leg ass‘y,Integrated Amplifier,2,parts_05.csv
AEC-875,SX-8,1,AEC-875,Stopper,Receiver,1,parts_05.csv
AEC-882,A-66X; A-77X; C-72,3,AEC-882,Strain relief (HB); Strain relief (HE); Strain relief - HB; Strain relief - HE; STRAIN RELIEF - SD,Integrated Amplifier; Pre-Amplifier,5,parts_05.csv
AEC-903,TX-950,1,AEC-903,Leg assembly,Tuner,1,parts_05.csv
AEC-936,A-90,1,AEC-936,Stopper A,Integrated Amplifier,1,parts_05.csv
AEC-982,SA-1040; SA-1050; SA-940; SA-950,4,AEC-982,Volume escutcheon,Integrated Amplifier,4,parts_05.csv
AED-018,SA-8100; SA-9100; SX-1010; SX-838; TX-8100; TX-9100,6,AED-018-0,Light shade; Shading plate,Integrated Amplifier; Receiver; Tuner,7,parts_05.csv
AED-01B,SX-939,1,AED-01B-0,Shading plate,Receiver,1,parts_05.csv
AED-025,SX-737,1,AED-025-A,Shading plate,Receiver,1,parts_05.csv
AED-036,SX-535,1,AED-036-A,Mask,Receiver,1,parts_05.csv
AEE-007,TX-6200,1,AEE-007-A,Shading plate,Tuner,1,parts_05.csv
AEE-008,QX-949A,1,AEE-008,lnsulater,Receiver,1,parts_05.csv
AEE-009,QX-949A,1,AEE-009,Insulate Board,Receiver,1,parts_05.csv
AEF-002,Exclusive M3; QX-646; SX-434,3,AEF-002-B; AEF-002-C,Coil spring; Spring,Amplifier; Receiver,3,parts_05.csv
AEF-004,SX-535,1,AEF-004-0,Spacer,Receiver,1,parts_05.csv
AEK- 405,A-7,1,AEK- 405,Fuse T1 .6A FU2,Integrated Amplifier,1,parts_05.csv
AEK- 512,GR-555,1,AEK- 512,Fuse (T2.5A/260V) - HB,Equalizer,1,parts_05.csv
AEK-003,QX-646; QX-8000A; SX-737,3,AEK-003-0,Fuse 3A (Protection - KUW model); Fuse 3A (protection -KCU); Fuse 3A for protection,Receiver,3,parts_05.csv
AEK-004,QX-4000; QX-646; SA-1000; SA-600; SA-800; SA-9100,6,AEK-004-0; AEK-004-O,"1A fuse for UL (KUW); Fuse 1A (KUW model); Fuse 1A (Protection - KUW model); Fuse 1A (protection) for KUW model; Fuse 1A for protection; Fuse 1A, for protection (KUW/KCW)",Integrated Amplifier; Receiver,7,parts_05.csv
AEK-005,QX-8000A,1,AEK-005-0,Fuse 0.5A for protection,Receiver,1,parts_05.csv
AEK-008,SX-626 (1971); TX-7100; TX-8100; TX-9100,4,AEK-008-0,Fuse 3A (protection - KCW model); Fuse 3A (protection) (KCW model); Fuse 3A for protection,Receiver; Tuner,4,parts_05.csv
AEK-009,QX-4000; QX-646; SA-5200; SA-8100; SX-434; SX-525,6,AEK-009-0,Fuse  1.5A (AC power - FV); Fuse 1.5A   FVW model; Fuse 1.5A (protection); Fuse 1.5A (Protection); Fuse 1.5A for protection,Integrated Amplifier; Receiver,10,parts_05.csv
AEK-013,SX-737,1,AEK-013-0,Fuse 1.6A (protection- GN),Receiver,1,parts_05.csv
AEK-014,SX-535; SX-636,2,AEK-014-0,Fuse (protection)  500mA (GN); Fuse 500mA (protection - GN),Receiver,2,parts_05.csv
AEK-015,A-9,1,AEK-015,Fuse (5A) 220/240V - HE,Integrated Amplifier,1,parts_05.csv
AEK-016,SA-5200; TX-5300; TX-6200; TX-7100; TX-8100; TX-9100,6,AEK-016-0,"Fuse (Primary) F and FVZ model 0.5A; Fuse 0.5A; Fuse 0.5A (AC power - FVZW, FW model); Fuse 0.5A (AC power) (FVZW, FW model); Fuse 0.5A (AC power, protection) (FV model); Fuse 0.5A (primary); Fuse 0.5A (protection) (FVZW, FW model); Fuse 0.5A (secondary)",Integrated Amplifier; Tuner,12,parts_05.csv
AEK-017,A-6; A-77X; SA-710; SA-930; SA-940; SA-950; SA-970; SX-550; SX-600L; TX-9500II,10,AEK-017,Fuse (2A); Fuse (2A) - HE; FUSE (2A) - HEZ; Fuse (2A) - YP; Fuse (T2A); Fuse (T2A) - HB; Fuse (T2A) - HE; Fuse (T2A) - HEZ; Fuse (T2A) - YP; Fuse (T2A/AC250V) - HB; Fuse (T2A/AC250V) - HE; Fuse - HB  (T2A); Fuse - HE  (T2A); Fuse 2A (HG); Fuse 2A (Secondary - HG),Integrated Amplifier; Receiver; Tuner,19,parts_05.csv
AEK-018,F-7; SA-3000; SA-606,3,AEK-018,Fuse (T1.25A 250V - HG); Fuse 1.25A; Fuse 1.25A (HG),Integrated Amplifier; Tuner,3,parts_05.csv
AEK-019,TX-7100; TX-8100; TX-9100,3,AEK-019-0,Fuse 1.2A (protection - KCW model); Fuse 1.2A (protection) (KCW model),Tuner,3,parts_05.csv
AEK-020,QX-9900; SA-9100,2,AEK-020-0,Fuse 2.5A; Fuse 2.5A (AC power) for FVW model,Integrated Amplifier; Receiver,2,parts_05.csv
AEK-021,QX-9900; SX-939,2,AEK-021-0,Fuse 5A; Fuse 5A (AC power - KCU),Receiver,2,parts_05.csv
AEK-022,SA-9100; TX-7100; TX-8100,3,AEK-022-0,Fuse 1A (protection - KCW model); Fuse 1A (protection) for FVW model,Integrated Amplifier; Tuner,5,parts_05.csv
AEK-024,TX-9100,1,AEK-024-0,Fuse 0.5A (protection) (KCW model),Tuner,4,parts_05.csv
AEK-025,SA-9100,1,AEK-025-0,Fuse 4A (AC power) for KUW model,Integrated Amplifier,1,parts_05.csv
AEK-028,QX-747,1,AEK-028-0,Fuse 4A (AC power),Receiver,1,parts_05.csv
AEK-031,F-7; SX-434; SX-650; TX-9500II,4,AEK-031; AEK-031-0,Fuse  0.8A (protection - GN); Fuse (T800mA 250V - HG); Fuse 0.8A (HG); Fuse 800mA (Secondary - HG),Receiver; Tuner,6,parts_05.csv
AEK-033,QX-949,1,AEK-033-0,Fuse 6A (AC power),Receiver,1,parts_05.csv
AEK-034,QX-949,1,AEK-034-0,Fuse 6A (protection),Receiver,1,parts_05.csv
AEK-035,QX-747,1,AEK-035-0,Fuse 4A (protection),Receiver,1,parts_05.csv
AEK-036,A-80,1,AEK-036,Fuse (T0.2A) - HE,Integrated Amplifier,1,parts_05.csv
AEK-037,C-72; SX-600L; SX-700L,3,AEK-037,Fuse (250mA); FUSE (T250mA) - SD; Fuse T250mA 250V,Pre-Amplifier; Receiver,6,parts_05.csv
AEK-039,SX-939,1,AEK-039-0,Fuse 5A (protection - KCU),Receiver,1,parts_05.csv
AEK-040,M-22,1,AEK-040,Fuse 6A (KL-type),Amplifier,1,parts_05.csv
AEK-042,A-60; SA-1040; SX-434; SX-535; SX-636; SX-700L; SX-737,7,AEK-042; AEK-042-0,Fuse  3.15A (protection - GN); Fuse (protection)  3.15A (GN); Fuse (T3.15A) - HB; Fuse (T3.15A) - HE; Fuse (T3.15A) - YP; Fuse 3.15A (protection - GN); Fuse 3.15A (protection - GN)); Fuse T3.15A 250V,Integrated Amplifier; Receiver,15,parts_05.csv
AEK-100,QX-747A; SA-6500; SA-6500II; SA-6800/608; SA-9500II; SA-9900; SX-3400; SX-3600/720; SX-3700; SX-450; SX-5; SX-535; SX-550; SX-580/590; SX-636; SX-680/690; SX-700; SX-750; SX-780; SX-8; SX-820,21,AEK-100; AEK-100-0,"FU4  Fuse  4A (KU,KC); FU5  Fuse  4A (KU,KC); Fuse (4A); Fuse (4A) 220/240V S/SG-type; Fuse (4A,FU101); Fuse (Primary) 4A; Fuse (protection)  4A (KCU,FV); Fuse 4A; Fuse 4A (110V, 120V - S); Fuse 4A (110V,120V,130V,primary); Fuse 4A (F1, primary) - D; Fuse 4A (for 220V or 240V - S); Fuse 4A (for 220V or 240V-S); Fuse 4A (Primary); Fuse 4A (protection - KCU,FV); Fuse 4A (S)",Integrated Amplifier; Receiver,30,parts_05.csv
AEK-101,A-5; M-22; QX-747A; QX-949A; SA-606; SA-6700; SX-3500; SX-3600/720; SX-3700; SX-3800; SX-4; SX-434; SX-450; SX-535; SX-580/590; SX-636; SX-650; SX-737; SX-820; SX-939,20,AEK-101; AEK-101 -0; AEK-101-0,"FU6  Fuse  3A (KU,KC); Fuse  3A (protection - KCU); Fuse (3A); Fuse (protection)  3A (KCU,FV); Fuse (S); Fuse (S/G); Fuse 3A; Fuse 3A (220V,240V,primary - F type); Fuse 3A (AC power - F); Fuse 3A (AC power - KCU); Fuse 3A (KCU); Fuse 3A (lamp circuit); Fuse 3A (N-type); Fuse 3A (protection - KCU,F); Fuse 3A (protection - KCU,FV); Fuse 3A (protection); Fuse 3A (S,S/G); FUSE(3 AMPS/125 VOLTS)",Amplifier; Integrated Amplifier; Receiver,27,parts_05.csv
AEK-102,SA-420; SA-5800/508; SA-706; SX-3900; SX-880/890,5,AEK-102,"Fuse (2.5A - S,S/G); Fuse (2.5A for 220V/240V - S,S/G); Fuse (2.5A); Fuse (2.5A) - KU; Fuse 2.5A; Fuse 2.5A (SX-880/S); Fuse 2.5A (SX-880/SG)",Integrated Amplifier; Receiver,7,parts_05.csv
AEK-103,QX-747A; SA-606; SPEC-2; SX-1280; SX-1980; SX-3400; SX-550; SX-6; SX-600; SX-7; SX-780; SX-880/890; TX-8500II; TX-9500; TX-9500II,15,AEK-103; AEK-103-0,"2A (220V, 240V - S); Fuse  2A; Fuse (2A); Fuse (2A) - KU; Fuse (2A. FU2); Fuse 2A; Fuse 2A (220V, 240V, primary); Fuse 2A (F3, lamps); Fuse 2A (FU3); Fuse 2A (lamps); Fuse 2A (S); Fuse 2A (S,S/G); Fuse 2A (Secondary - KU/KC); Fuse 2A (Secondary)",Amplifier; Integrated Amplifier; Receiver; Tuner,20,parts_05.csv
AEK-104,A-9; SPEC-4; SX-1050; SX-1080; SX-1250; SX-1980; SX-450; SX-535; SX-550; SX-580/590; SX-650; SX-680/690; SX-737; SX-750; SX-850; SX-950; SX-980; TX-6500II,18,AEK-104; AEK-104-0,"1.5A Lamp circuits (KCU); 1.5A Lamp circuits (S); Fuse  1.5A; Fuse  1.5A (KU,KC); FUSE (1.5A); Fuse (1.5A) - S; Fuse (1.5A) - S/G; Fuse (primary)  l.5A (FV); Fuse 1.5A; Fuse 1.5A (AC power -F); Fuse 1.5A (FU6); Fuse 1.5A (KCU/S); Fuse 1.5A (lamp circuit); Fuse 1.5A (S); Fuse 1.5A (Secondary - KC,KU); Fuse 1.6A (S)",Amplifier; Integrated Amplifier; Receiver; Tuner,26,parts_05.csv
AEK-106,A-9; C-21; F-28; QX-747A; QX-949A; RG-1; SA-420; SA-6500; SA-6500II; SA-7500II; SA-9500; SA-9900; SPEC-2; SPEC-4; SX-1050; SX-1080; SX-1250; SX-1280; SX-1980; SX-3900; SX-434; SX-600; SX-737; SX-780; SX-850; SX-880/890; SX-939; SX-950; SX-980; TX-5300; TX-6800/608; TX-710; TX-8500II; TX-9500; TX-9500II,35,AEK-106; AEK-106-0,"1A Fuse Secondary (KCU); 1A Fuse Secondary (S); Accessory fuse 1A - S; Fuse  1A; Fuse  1A (protection - KCU); Fuse (1 A); Fuse (1 A) - YP; Fuse (1A); Fuse (1A) - S; Fuse (1A) - S/G; Fuse (1A) - YP; Fuse (IA); Fuse (Secondary) 1A; Fuse 1A; Fuse 1A (F2, F3, secondary) - D; Fuse 1A (F4, lamp); Fuse 1A (F4, lamp) - D; Fuse 1A (FL F3, secondary); Fuse 1A (for KL-type); Fuse 1A (FU 1); Fuse 1A (FU1~FU4); Fuse 1A (FU2); Fuse 1A (FU2, FU3); Fuse 1A (FU4); Fuse 1A (FU5); Fuse 1A (lamps); Fuse 1A (Primary - KU/KC); Fuse 1A (primary); Fuse 1A (protection - KCU,F); Fuse 1A (protection); Fuse 1A (S/G); Fuse 1A (secondary); Fuse 1A (Secondary); Fuse 1A(primary) 220 or 240V; Fuse IA; Fuse IA (FU3); FUSE(1 AMP)",Amplifier; Dynamic Range Expander; Integrated Amplifier; Pre-Amplifier; Receiver; Tuner,74,parts_05.csv
AEK-107,F-28; M-22; M-25; SA-706; SA-7700; SG-9500; SPEC-1; SX-3700; SX-3800; SX-450; SX-535; SX-600; SX-636; SX-700; SX-750; SX-820; TX-6500II; TX-8500II; TX-9500; TX-9500II,20,AEK-107; AEK-107-0,"Accessory fuse 500mA (S); Accessory fuse 500mA - S; FU1  Fuse  0.5A (KU,KC); FU2  Fuse  0.5A (KU,KC); FU2-FU5; Fuse (0.5A); Fuse (500mA - S,S/G); Fuse (protection)  0.5A (KCU,FV); Fuse (S); Fuse 0.5A; Fuse 0.5A (F4, primary); Fuse 0.5A (FU1); Fuse 0.5A (FU2); Fuse 0.5A (FU3); Fuse 0.5A (FU4); Fuse 0.5A (FU5); Fuse 0.5A (KL-type); Fuse 0.5A (lamp circuit); Fuse 0.5A (N-type); Fuse 0.5A (primary); Fuse 0.5A (primary) 110,120 or130V; Fuse 0.5A (protection - KCU,FV); Fuse 0.5A (S); Fuse 0.5A (secondary); Fuse 500mA (Primary - KC,KU); Fuse 500mA (Primary - S); Fuse 500mA (Secondary - KC,KU)",Amplifier; Equalizer; Integrated Amplifier; Pre-Amplifier; Receiver; Tuner,42,parts_05.csv
AEK-108,A-27; A-6; A-9; SA-6500; SA-6500II; SA-706; SA-710; SA-7500II; SA-7700; SA-9800; SX-3500; SX-4; SX-6; SX-600; SX-636; SX-680/690; SX-7; SX-850; SX-880/890,19,AEK-108; AEK-108-0,"Fuse (5A - S,S/G); Fuse (5A); Fuse (5A) - KU; Fuse (5A) 220/240V - S; Fuse (5A) 220/240V - S/G; Fuse (5A, for 110V/120V - S,S/G); Fuse (5A, FU1); Fuse (5A/125V); Fuse (Secondary) 5A; Fuse - KU  (5A); Fuse 1.5A (AC power -FV); Fuse 5A; Fuse 5A  (Secondary); Fuse 5A (FU 1); Fuse 5A (protection - KCU,FV); Fuse 5A (Secondary); Fuse 5A (SX-880/S); Fuse 5A (SX-880/SG); Fuse 5A - KU; Fuse SA (primary)",Integrated Amplifier; Receiver,28,parts_05.csv
AEK-109,A-27; Exclusive M3; QX-949A; SA-7800; SA-8800; SA-9500; SPEC-4; SX-1250; SX-3600/720; SX-3800; SX-5; SX-700; SX-950; SX-980,14,AEK-109; AEK-109-0,"6A Primary voltage : 220V/240V (S); Fuse  6A; Fuse (6A); Fuse (6A,FU102,FU103l; Fuse (KU); Fuse (S/G); Fuse 6A; Fuse 6A (AC power); Fuse 6A (for 220, 240V) - S; Fuse 6A (for 220, 240V) - S/G; Fuse 6A (primary - KSC); Fuse 6A (primary); Fuse 6A(110V,120V,130V, primary) - F type",Amplifier; Integrated Amplifier; Receiver,18,parts_05.csv
AEK-110,A-80; SA-9500II,2,AEK-110,Fuse (8A/125V) - S; Fuse (8A/125V) - S/G; Fuse 8A (for 110V or 120V-S); Fuse BA (for 110V or 120V - S),Integrated Amplifier,4,parts_05.csv
AEK-111,SA-7800; SA-8800; SA-9500II; SA-9800; SX-550; SX-650; SX-750; TX-9500; TX-9500II,9,AEK-111; AEK-111-0,"Fuse (0.8A); Fuse 0.8A; Fuse 0.8A (F1, F2 secondary); Fuse 0.8A (F2, secondary); Fuse 0.8A (KCU/S); Fuse 0.8A (secondary); Fuse 800mA (Secondary - KC/KU); Fuse 800mA (Secondary - KU/KC)",Integrated Amplifier; Receiver; Tuner,17,parts_05.csv
AEK-113,A-27,1,AEK-113,"Fuse 12A (for 110, 120V) - S; Fuse 12A (for 110, 120V) - S/G",Integrated Amplifier,2,parts_05.csv
AEK-114,A-9,1,AEK-114,Fuse (10A) 110/120V - S; Fuse (10A) 110/120V - S/G,Integrated Amplifier,2,parts_05.csv
AEK-118,GR-777; TX-905; TX-950,3,AEK-118,Fuse (0.8A/125V) - KU; FUSE (800MA/125V); Fuse (800mA/125V) - KUC,Equalizer; Tuner,3,parts_05.csv
AEK-119,A-80; SX-8,2,AEK-119,Fuse (1A); Fuse (8A/125V) - S; Fuse (8A/125V) - S/G,Integrated Amplifier; Receiver,3,parts_05.csv
AEK-121,SA-530; SX-202,2,AEK-121,Fuse (1.6A) - S; Fuse (T1.6A),Integrated Amplifier; Receiver,2,parts_05.csv
AEK-122,SX-8,1,AEK-122,Fuse (2A),Receiver,1,parts_05.csv
AEK-123,SA-930; SA-940; SA-950,3,AEK-123,Fuse (2.5A) - S; Fuse (2.5A) - S/G; Fuse (2.5A) - S/SG,Integrated Amplifier,9,parts_05.csv
AEK-124,A-60; A-77X; SA-1040; SA-1050; SA-530,5,AEK-124,Fuse (3.15A); Fuse (3.15A) - KU; Fuse (3.15A) - S; Fuse (3.15A) - S/G,Integrated Amplifier,14,parts_05.csv
AEK-125,A-51; SA-530; SX-50,3,AEK-125,Fuse (4A); Fuse (5A) - S; FUSE 4A * REK1066,Integrated Amplifier; Receiver,3,parts_05.csv
AEK-126,SA-530; SA-950,2,AEK-126,Fuse (5A) - KC; Fuse (5A) - KU,Integrated Amplifier,2,parts_05.csv
AEK-136,GR-777,1,AEK-136,Fuse (500mA/125V) - KUC,Equalizer,1,parts_05.csv
AEK-200,SX-434; SX-535,2,AEK-200-0,Fuse  3A (AC power - KCU); Fuse (primary)  3A (KCU),Receiver,2,parts_05.csv
AEK-202,SX-636,1,AEK-202-0,Fuse 4A (protection - KCU),Receiver,1,parts_05.csv
AEK-205,QX-949A,1,AEK-205,Fuse 6A (with leads - KCU type),Receiver,1,parts_05.csv
AEK-300,M-25; SA-9900,2,AEK-300; AEK-300-0,"Fuse; Fuse 8A (F1, primary)",Amplifier; Integrated Amplifier,2,parts_05.csv
AEK-301,SPEC-2; SX-1250; SX-1280,3,AEK-301,12A Primary voltage : 110V/120V (KCU); 12A Primary voltage : 110V/120V (S); Fuse 12A; Fuse 12A (Primary); Fuse 12A (primary),Amplifier; Receiver,5,parts_05.csv
AEK-302,SX-1050; SX-1080,2,AEK-302,FUSE (10A); Fuse 10A,Receiver,2,parts_05.csv
AEK-303,SX-1980,1,AEK-303,Fuse  15A,Receiver,1,parts_05.csv
AEK-304,A-88X; SX-8; SX-D5000,3,AEK-304,"Fuse (8A); Fuse (8A) 110/120V KU-type; Fuse (8A) 110/120V S/SG-type; Fuse (FU1, FU2)",Integrated Amplifier; Receiver,4,parts_05.csv
AEK-305,SX-3900,1,AEK-305,Fuse 10A,Receiver,1,parts_05.csv
AEK-306,A-90,1,AEK-306,Fuse (15A),Integrated Amplifier,1,parts_05.csv
AEK-308,SA-930; SA-940; SA-950,3,AEK-308,Fuse (5A); Fuse (5A) - KU,Integrated Amplifier,4,parts_05.csv
AEK-309,A-60; A-71; A-77X; SA-1040; SA-1050; SX-60,6,AEK-309,Fuse (6.3A); Fuse (6.3A) - KU; FUSE 6.3A,Integrated Amplifier; Receiver,7,parts_05.csv
AEK-400,A-7; SA-9900; SX-450; SX-535; SX-550; SX-636,6,AEK-400; AEK-400-0,"Fuse (protection)  4A (GN); Fuse 4A (F1, primary) - GN; Fuse 4A (HG); Fuse 4A (protection - GN); Fuse T4A FU1",Integrated Amplifier; Receiver,8,parts_05.csv
AEK-401,A-60; A-66X; A-77X; SA-706; SX-450; TX-6500II; TX-9500II,7,AEK-401,Fuse (0.5A); Fuse (500rnA - HG); Fuse (T500mA) - HB; Fuse (T500mA) - HE; Fuse 0.5A (HG); Fuse 500mA (Primary - HG); Fuse 500mA (Secondary - HG),Integrated Amplifier; Receiver; Tuner,13,parts_05.csv
AEK-402,A-80; A-9; SA-530; SA-9900; SX-1250; SX-550; TX-530L,7,AEK-402; AEK-402-0,"1A Fuse Secondary (HG); Fuse; Fuse (1A) - HE; Fuse (T1A) - HB; Fuse (T1A) - HE; Fuse (T1A) - HEZ; Fuse (T1A) - YP; Fuse 1A (F2, F3, secondary) - GN; Fuse 1A (F4, lamp) - GN; Fuse 1A (HG)",Integrated Amplifier; Receiver; Tuner,12,parts_05.csv
AEK-403,A-6; A-66X; GR-551; GR-555; GR-777; SA-1050; SA-530; SA-706; SA-708; SA-710; SA-930; SA-940; SA-950; SX-600L; SX-700L,15,AEK-403,Fuse (2.5A for 220V/240V - HG); Fuse (2.5A); Fuse (2.5A) - HE; Fuse (2.5A) - HEZ; Fuse (T2.5A) - HB; Fuse (T2.5A) - HE; Fuse (T2.5A) - HEZ; Fuse (T2.5A) - YP; Fuse (T2.5A/250V) - HEZ; Fuse (T2.5A/260V) - HEZ; Fuse (T2.5A/AC250V) - HE; Fuse - HE  (T2.5A); Fuse T2.5A 250V - HE,Equalizer; Integrated Amplifier; Receiver,22,parts_05.csv
AEK-404,A-80; SX-1250; SX-700L,3,AEK-404,6.3A Primary voltage : 220V/240V (HG); Fuse (T6.3A) - HE; Fuse T2.5A 250V,Integrated Amplifier; Receiver,3,parts_05.csv
AEK-405,A-9; SX-1250; SX-450; SX-550; SX-650; SX-700L; TX-6500II,7,AEK-405,1.6A Lamp circuits (HG); Fuse 1.6A (HG); Fuse 1.6A (Secondary - HG); Fuse T1.6A 250V; Fuse(T1.6A 250V),Integrated Amplifier; Receiver; Tuner,9,parts_05.csv
AEK-406,GR-777; SX-600L; TX-130L,3,AEK-406,Fuse (630mA); Fuse (T630mA); Fuse (T630mA/250V) - HEZ; Fuse (T630mA/250V) - SD; Fuse (T630mA/250V) - SD/G,Equalizer; Receiver; Tuner,5,parts_05.csv
AEK-407,A-80; GR-777; TX-950,3,AEK-407,Fuse (T0.4A) - HE; Fuse (T400mA/250V) - HEZ; Fuse (T400mA/250V) - YP; Fuse (T400mA/260V) - HEZ; Fuse (T400mA/260V) - SD; Fuse (T400mA/260V) - SD/G,Equalizer; Integrated Amplifier; Tuner,6,parts_05.csv
AEK-408,SA-3000; SA-606; SA-6700; SA-706; SA-7700,5,AEK-408,Fuse (160mA - HG); Fuse 160mA; Fuse 160mA (HG); Fuse 160mA (KC),Integrated Amplifier,5,parts_05.csv
AEK-409,SA-3000,1,AEK-409,Fuse 125mA,Integrated Amplifier,1,parts_05.csv
AEK-505,A-77X,1,AEK-505,Fuse (T500mA) - HB,Integrated Amplifier,1,parts_05.csv
AEK-511,A-77X,1,AEK-511,Fuse (T2A) - HB,Integrated Amplifier,1,parts_05.csv
AEK-512,GR-551,1,AEK-512,Fuse (T2.5A/250V) - HB,Equalizer,1,parts_05.csv
AEK-I06,SA-9500,1,AEK-I06-0,Fuse 1A,Integrated Amplifier,2,parts_05.csv
AEK1002,A-717,1,AEK1002,FUSE 8A,Integrated Amplifier,1,parts_05.csv
AEL-001,QX-8000; QX-8000A,2,AEL-001-A,Lamp Ass'y; Lamp ass’y,Receiver,2,parts_05.csv
AEL-002,TX-1000,1,AEL-002,PILOT LAMP AEL-019,Tuner,1,parts_05.csv
AEL-004,TX-6200; TX-8100,2,AEL-004-0,Pilot lamp (for dial scale); Wire clip (A),Tuner,2,parts_05.csv
AEL-006,QX-646; QX-747; QX-949; SX-424; SX-525; SX-626 (1973); TX-6200,7,AEL-006-0,"Pilot lamp; Pilot lamp (CD-4 indicator); Pilot lamp 6V 30mA (Stereo indicator); Pilot lamp 6V, 30mA (stereo indicator); Pilot lamp for FM stereo indicator; Pilot lamp for signal meter",Receiver; Tuner,7,parts_05.csv
AEL-007,QX-4000; QX-646; QX-747; QX-8000A; QX-949; QX-9900; SA-5200; SA-7100; SA-8100; SA-9100; SX-525; SX-626 (1971); SX-727; SX-828; TX-7100; TX-8100; TX-9100,17,AEL-007-0,Pilot lamp; Pilot lamp (for program indicator); Pilot lamp (power indicator); Pilot lamp (Program and mode indicators); Pilot lamp (program indicator); Pilot lamp 6V 50mA (Program indicator); Pilot lamp 8V 50mA (program indicator); Pilot lamp for indicator; Pilot lamp for program and channel indicators; Pilot lamp for program indicator; Pilot lamp for program indicator and speaker indicator; Pilot lamp for reverberation indicator,Integrated Amplifier; Receiver; Tuner,23,parts_05.csv
AEL-011,QX-9900,1,AEL-011-0,Pilot lamp for speaker switch,Receiver,1,parts_05.csv
AEL-012,QX-9900,1,AEL-012-0,Channel indicator,Receiver,1,parts_05.csv
AEL-014,Exclusive M3; SA-7100; SA-8100; SA-9100; SX-1010; SX-838; SX-939,7,AEL-014-0,"Pilot lamp (Protection); Pilot lamp 6V, 30mA (Stereo indicator); Pilot lamp 6V, 30mA (stereo indicator); Pilot lamp 8V, 50mA; Pilot lamp BV, 50mA (stereo indicator); Pilot lamp for protection; Pilot lamp for protection   KUW model",Amplifier; Integrated Amplifier; Receiver,8,parts_05.csv
AEL-015,QL-600; QL-600A; QM-800; QM-800A; QT-2100; QX-4000; QX-747; QX-747A; QX-8000; QX-8000A; QX-949; QX-949A; QX-9900; SX-1010; SX-838; SX-939; TX-1000; TX-500; TX-5300; TX-700; TX-7100; TX-800; TX-8100; TX-900; TX-9100,25,AEL-015; AEL-015-0,"Lamp 8V, 300mA, bar type (Meter illumination); Lamp 8V, 300rnA, bar type (Meter illumination); LAMP(DIAL/POWER); Pilot lamp (for meter); Pilot lamp (tuning and signal meter); Pilot lamp (tuning and signal meters); Pilot lamp 8V 0.3A (meter); Pilot lamp 8V 0.3A (twin meter); Pilot lamp 8V, 0.3A; Pilot lamp 8V, 0.3A (meter)",8-Track Tape; Amplifier; Integrated Amplifier; Receiver; Tuner,26,parts_05.csv
AEL-017,SX-434; TX-5300,2,AEL-017-0; AEL-017-A,"Lamp 6V, 30mA (PL1, stereo ind.); Pilot lamp 6V, 30mA (stereo indicator)",Receiver; Tuner,2,parts_05.csv
AEL-019,QX-8000; TX-710,2,AEL-019,PILOT LAMP(FUNCTIONS INDICATOR),Receiver; Tuner,2,parts_05.csv
AEL-020,Exclusive M3,1,AEL-020-0,"Pilot lamp 8V,0.3A (Meter)",Amplifier,1,parts_05.csv
AEL-022,QX-747A; QX-949A; SA-9900; SX-636; SX-737; SX-838; SX-939,7,AEL-022; AEL-022-0; AEL-022-A,"Lamp (with leads, PL1, 8V 50mA); Lamp 8V, 50mA, with leads (Program indicator); Pilot lamp 8V, 50mA; Pilot lamp 8V, 50mA (program indicator); Pilot lamp 8V, 50mA (Program indicator); Pilot lamp 8V,50mA(program indicator)",Integrated Amplifier; Receiver,10,parts_05.csv
AEL-023,SX-1010; SX-737; SX-838; SX-939,4,AEL-023-0,"Pilot lamp 8V 50 mA (Position); Pilot lamp 8V, 50mA; Pilot lamp 8V, 50mA (program indicator); Pilot lamp 8V,50mA (program indicator); Pilot lamp BV,50mA(program indicator)",Receiver,5,parts_05.csv
AEL-025,QX-747A; QX-949A; SX-535; SX-636; TX-7500; TX-7800; TX-9500,7,AEL-025; AEL-025-0,"Lamp - dial pointer 8V 50mA; Lamp 6V (STEREO INDICATOR), 30mA (with leads); Lamp 6V, 30mA, with leads (CD-4 indicator); Lamp 8V 300mA; Pilot lamp 6V, 30mA (stereo indicator); Pilot lamp 8V, 50mA (Stereo indicator); PILOT LAMP(STEREO INDICATOR)",Receiver; Tuner,8,parts_05.csv
AEL-026,TX-5300; TX-7500,2,AEL-026; AEL-026-0,"Lamp 8V 50mA (AM/FM meter) with leads; Lamp 8V, 50mA (PL2, meter) with leads; PILOT LAMP",Tuner,3,parts_05.csv
